,0
0,0.9753842949867249
1,0.9749836325645448
2,0.9745928645133972
3,0.9742119312286376
4,0.9738413095474244
5,0.9734805226325988
6,0.97312992811203
7,0.9727894067764282
8,0.9724589586257936
9,0.9721387028694152
10,0.9718283414840698
11,0.9715282320976256
12,0.9712379574775696
13,0.9709576964378356
14,0.9706873297691344
15,0.9704267978668212
16,0.9701759219169616
17,0.9699347615242004
18,0.9697030782699584
19,0.9694808125495912
20,0.9692677855491638
21,0.969063937664032
22,0.9688690900802612
23,0.968683123588562
24,0.9685056805610656
25,0.9683367013931274
26,0.9681761264801024
27,0.9680234789848328
28,0.967878758907318
29,0.9677419066429138
30,0.9676122069358826
31,0.967489778995514
32,0.9673742651939392
33,0.9672655463218688
34,0.9671632051467896
35,0.9670670628547668
36,0.9669766426086426
37,0.9668919444084167
38,0.9668124318122864
39,0.9667380452156068
40,0.9666683673858644
41,0.9666029810905457
42,0.966541826725006
43,0.9664844274520874
44,0.9664304852485656
45,0.966379702091217
46,0.9663317799568176
47,0.9662864804267884
48,0.9662434458732604
49,0.966202437877655
50,0.9661629796028136
51,0.966125190258026
52,0.9660884737968444
53,0.9660526514053344
54,0.9660175442695618
55,0.9659829139709472
56,0.9659485816955566
57,0.9659143090248108
58,0.9658800363540648
59,0.9658452868461608
60,0.9658102989196776
61,0.9657747745513916
62,0.9657384157180786
63,0.965701460838318
64,0.965663492679596
65,0.9656246304512024
66,0.9655846953392028
67,0.9655437469482422
68,0.9655016660690308
69,0.9654582142829896
70,0.9654136896133424
71,0.9653676748275756
72,0.9653204679489136
73,0.9652718901634216
74,0.9652219414711
75,0.9651705026626588
76,0.9651176929473876
77,0.965063452720642
78,0.9650075435638428
79,0.9649502038955688
80,0.964891254901886
81,0.9648306369781494
82,0.9647685289382936
83,0.9647046327590942
84,0.9646390080451964
85,0.9645717144012452
86,0.9645026326179504
87,0.9644315838813782
88,0.9643587470054626
89,0.9642840623855592
90,0.9642072916030884
91,0.9641286730766296
92,0.964047908782959
93,0.9639650583267212
94,0.9638802409172058
95,0.9637932181358336
96,0.963703989982605
97,0.9636124968528748
98,0.9635187983512878
99,0.9634228944778442
100,0.9633246660232544
101,0.9632241725921632
102,0.963121235370636
103,0.9630159735679626
104,0.9629083871841432
105,0.9627984166145324
106,0.9626860618591307
107,0.9625712037086488
108,0.9624540209770204
109,0.9623344540596008
110,0.962212324142456
111,0.962087869644165
112,0.9619609713554382
113,0.9618316888809204
114,0.9616999626159668
115,0.9615659117698668
116,0.961429238319397
117,0.9612903594970704
118,0.961149036884308
119,0.9610052704811096
120,0.9608591198921204
121,0.96071058511734
122,0.9605596661567688
123,0.9604064226150512
124,0.9602508544921876
125,0.9600929617881776
126,0.9599326848983764
127,0.9597699642181396
128,0.9596051573753356
129,0.959437906742096
130,0.9592683911323548
131,0.959096610546112
132,0.9589226841926576
133,0.958746373653412
134,0.9585679769515992
135,0.9583873152732848
136,0.9582045078277588
137,0.9580195546150208
138,0.9578323364257812
139,0.9576431512832642
140,0.9574517607688904
141,0.9572582840919496
142,0.9570627212524414
143,0.9568650126457214
144,0.9566649794578552
145,0.9564629793167114
146,0.9562584757804872
147,0.9560515880584716
148,0.9558421969413756
149,0.9556301236152648
150,0.9554153084754944
151,0.9551974534988404
152,0.9549766182899476
153,0.9547524452209472
154,0.9545248746871948
155,0.954293727874756
156,0.9540587663650512
157,0.9538200497627258
158,0.9535772800445556
159,0.9533302187919616
160,0.953079104423523
161,0.9528236985206604
162,0.9525638818740844
163,0.9522997736930848
164,0.9520312547683716
165,0.9517582654953004
166,0.9514808654785156
